# Magnetic Field Gauss-Seidel algorithm data
x,y,Az,Bx,By
0.0,0.0,0.0,0.0,-0.0
0.0,1.0,0.0,0.0,-0.0002101425873609135
0.0,2.0,0.0,0.0,-0.00042033138181918355
0.0,3.0,0.0,0.0,-0.0006305694180905714
0.0,4.0,0.0,0.0,-0.0008408199754636824
0.0,5.0,0.0,0.0,-0.0010509868342352146
0.0,6.0,0.0,0.0,-0.0012608946795701751
0.0,7.0,0.0,0.0,-0.001470269870485679
0.0,8.0,0.0,0.0,-0.0016787219345478718
0.0,9.0,0.0,0.0,-0.0018857263224468668
0.0,10.0,0.0,0.0,-0.0020906091534882744
0.0,11.0,0.0,0.0,-0.002292534890557117
0.0,12.0,0.0,0.0,-0.002490498081783684
0.0,13.0,0.0,0.0,-0.0026833204685353627
0.0,14.0,0.0,0.0,-0.0028696548499951256
0.0,15.0,0.0,0.0,-0.003047997071600232
0.0,16.0,0.0,0.0,-0.003216707323917608
0.0,17.0,0.0,0.0,-0.003374041561061641
0.0,18.0,0.0,0.0,-0.0035181932497943447
0.0,19.0,0.0,0.0,-0.003647344845998761
0.0,20.0,0.0,0.0,-0.00375972740809591
0.0,21.0,0.0,0.0,-0.003853685688686281
0.0,22.0,0.0,0.0,-0.0039277450344025475
0.0,23.0,0.0,0.0,-0.003980675640312823
0.0,24.0,0.0,0.0,-0.004011549323517327
0.0,25.0,0.0,0.0,-0.00401978413870756
0.0,26.0,0.0,0.0,-0.004005172915902769
0.0,27.0,0.0,0.0,-0.003967893108425072
0.0,28.0,0.0,0.0,-0.0039084970353494035
0.0,29.0,0.0,0.0,-0.0038278834390529076
0.0,30.0,0.0,0.0,-0.0037272529748075024
0.0,31.0,0.0,0.0,-0.003608051557495392
0.0,32.0,0.0,0.0,-0.0034719062484086837
0.0,33.0,0.0,0.0,-0.0033205585238036336
0.0,34.0,0.0,0.0,-0.003155799385913696
0.0,35.0,0.0,0.0,-0.0029794099943520904
0.0,36.0,0.0,0.0,-0.002793110485549403
0.0,37.0,0.0,0.0,-0.0025985185807099573
0.0,38.0,0.0,0.0,-0.0023971185968664917
0.0,39.0,0.0,0.0,-0.002190240662421293
0.0,40.0,0.0,0.0,-0.001979049341822273
0.0,41.0,0.0,0.0,-0.001764540497639252
0.0,42.0,0.0,0.0,-0.001547545038405117
0.0,43.0,0.0,0.0,-0.0013287381778940837
0.0,44.0,0.0,0.0,-0.001108652921654443
0.0,45.0,0.0,0.0,-0.0008876966573558905
0.0,46.0,0.0,0.0,-0.0006661699208934573
0.0,47.0,0.0,0.0,-0.00044428661217693686
0.0,48.0,0.0,0.0,-0.0002221951229167121
0.0,49.0,0.0,0.0,-0.0
1.0,0.0,0.0,0.0002101425873609135,-0.0
1.0,1.0,0.000420285174721827,0.00042033138181918355,-0.0004203313818191835
1.0,2.0,0.0008406627636383671,0.00042042683072965786,-0.0008407744884005169
1.0,3.0,0.0012611388361811427,0.00042048859364449885,-0.0012613548924180482
1.0,4.0,0.0016816399509273648,0.00042041741614464324,-0.001682018622487685
1.0,5.0,0.0021019736684704292,0.0004200747041064927,-0.002102592567915416
1.0,6.0,0.0025217893591403502,0.00041928303625046433,-0.0025227450697897155
1.0,7.0,0.002940539740971358,0.0004178272549776967,-0.002941947099396615
1.0,8.0,0.0033574438690957436,0.0004154564519611879,-0.0033594347144480174
1.0,9.0,0.0037714526448937337,0.0004118872189404026,-0.003774173838150751
1.0,10.0,0.004181218306976549,0.00040680856811025007,-0.004184828812546272
1.0,11.0,0.004585069781114234,0.00039988892829540944,-0.00458973661207251
1.0,12.0,0.004980996163567368,0.0003907855779782458,-0.004986889028082889
1.0,13.0,0.0053666409370707255,0.0003791567682114418,-0.005373925495325323
1.0,14.0,0.005739309699990251,0.0003646766030648693,-0.005748139454523467
1.0,15.0,0.006095994143200464,0.00034705247392248246,-0.006106501143314612
1.0,16.0,0.006433414647835216,0.00032604448946140906,-0.006445699385468474
1.0,17.0,0.006748083122123282,0.0003014859258767366,-0.006762204217091245
1.0,18.0,0.007036386499588689,0.0002733032849371198,-0.0070523509885762736
1.0,19.0,0.007294689691997522,0.00024153415830156528,-0.007312444908353076
1.0,20.0,0.00751945481619182,0.0002063408426875202,-0.007538882928742675
1.0,21.0,0.007707371377372562,0.00016801762630663753,-0.007728287599485378
1.0,22.0,0.007855490068805095,0.00012698995162654199,-0.007877645321266613
1.0,23.0,0.007961351280625646,8.380428911477968e-05,-0.007984439689968217
1.0,24.0,0.008023098647034654,3.910849839473731e-05,-0.008046769721108037
1.0,25.0,0.00803956827741512,-6.3764076145582035e-06,-0.008063443000686942
1.0,26.0,0.008010345831805538,-5.189103028248841e-05,-0.008034035372472177
1.0,27.0,0.007935786216850144,-9.667588055336553e-05,-0.007958911549512582
1.0,28.0,0.007816994070698807,-0.00014000966937216443,-0.0078392046781452
1.0,29.0,0.007655766878105815,-0.00018124406054190103,-0.007676756835813432
1.0,30.0,0.007454505949615005,-0.00021983188155751555,-0.0074740260847687146
1.0,31.0,0.007216103114990784,-0.00025534672639881874,-0.007233968482071912
1.0,32.0,0.006943812496817367,-0.00028749303369175836,-0.006959905010990922
1.0,33.0,0.006641117047607267,-0.0003161068624949878,-0.00665538365681363
1.0,34.0,0.006311598771827392,-0.00034114852945154326,-0.006324045950294354
1.0,35.0,0.005958819988704181,-0.000362688900364293,-0.005969505562109851
1.0,36.0,0.005586220971098806,-0.0003808914136421331,-0.005595244340495558
1.0,37.0,0.005197037161419915,-0.00039599188868291117,-0.005204528911775313
1.0,38.0,0.0047942371937329835,-0.00040827791828866415,-0.00480034890023427
1.0,39.0,0.004380481324842586,-0.0004180692550442189,-0.004385376153663287
1.0,40.0,0.003958098683644546,-0.0004257001647820411,-0.003961943163519155
1.0,41.0,0.003529080995278504,-0.00043150430341715586,-0.003532038139752498
1.0,42.0,0.003095090076810234,-0.0004358023197451684,-0.0030973138798286778
1.0,43.0,0.0026574763557881674,-0.000438892116750674,-0.002659107570452723
1.0,44.0,0.002217305843308886,-0.00044104152053819315,-0.0022184688830398118
1.0,45.0,0.001775393314711781,-0.0004424830007609857,-0.0017761940814166254
1.0,46.0,0.0013323398417869146,-0.00044341004517895366,-0.001332864279037115
1.0,47.0,0.0008885732243538737,-0.0004439747979767452,-0.0008888864071797393
1.0,48.0,0.0004443902458334242,-0.00044428661217693686,-0.00044453584585137193
1.0,49.0,0.0,-0.0002221951229167121,-0.0
2.0,0.0,0.0,0.0004203313818191835,-0.0
2.0,1.0,0.000840662763638367,0.0008407744884005169,-0.00042042683072965786
2.0,2.0,0.0016815489768010339,0.0008410235105988647,-0.0008410235105988648
2.0,3.0,0.0025227097848360964,0.0008412441340871681,-0.0012618742530554963
2.0,4.0,0.00336403724497537,0.0008412376754973678,-0.0016829836988861684
2.0,5.0,0.004205185135830832,0.0008407264473020305,-0.002104237032135209
2.0,6.0,0.005045490139579431,0.000839354531481199,-0.002525359955362993
2.0,7.0,0.00588389419879323,0.0008366896446583018,-0.0029458788197342153
2.0,8.0,0.006718869428896035,0.0008322267387541361,-0.0033650815047065324
2.0,9.0,0.007548347676301502,0.0008253940980982549,-0.0037819800171728455
2.0,10.0,0.008369657625092545,0.0008155627739217593,-0.0041952762227145165
2.0,11.0,0.00917947322414502,0.0008020602155366166,-0.0046033326134890685
2.0,12.0,0.009973778056165778,0.0007841888832528128,-0.005004150524273636
2.0,13.0,0.010747850990650646,0.0007612504264405779,-0.005395358676544861
2.0,14.0,0.011496278909046934,0.000732575647989289,-0.005774215283380893
2.0,15.0,0.012213002286629224,0.0006975599309450072,-0.006137627085585338
2.0,16.0,0.012891398770936948,0.0006557030737766329,-0.006482188494614255
2.0,17.0,0.01352440843418249,0.0006066516031077995,-0.006804243370223324
2.0,18.0,0.014104701977152547,0.0005502406912618312,-0.007099970760841529
2.0,19.0,0.014624889816706153,0.00048653194016640144,-0.007365494138424567
2.0,20.0,0.01507776585748535,0.00041584269113230203,-0.007597011318259359
2.0,21.0,0.015456575198970757,0.0003387623925239381,-0.00779093955078701
2.0,22.0,0.015755290642533226,0.00025615209048283905,-0.007944067538478622
2.0,23.0,0.015968879379936435,0.00016912439984142352,-0.008053703826205788
2.0,24.0,0.016093539442216073,7.900331071872442e-05,-0.008117809656724905
2.0,25.0,0.016126886001373884,-1.2734348635860121e-05,-0.008135104431122003
2.0,26.0,0.016068070744944353,-0.00010453145117435975,-0.008105133619890431
2.0,27.0,0.015917823099025164,-0.00019483069432697613,-0.008028292261413762
2.0,28.0,0.0156784093562904,-0.00028215471369914986,-0.007905801623305668
2.0,29.0,0.015353513671626864,-0.0003651785933764858,-0.007739641460309001
2.0,30.0,0.014948052169537429,-0.00044278835374151997,-0.007532444741420886
2.0,31.0,0.014467936964143824,-0.0005141210737777922,-0.00728736501058378
2.0,32.0,0.013919810021981845,-0.0005785848252582819,-0.007007928251974375
2.0,33.0,0.01331076731362726,-0.0006358590606965683,-0.006697881180315404
2.0,34.0,0.012648091900588708,-0.0006858780947037795,-0.006361046521283593
2.0,35.0,0.011939011124219702,-0.0007288016097987959,-0.0060011935442727486
2.0,36.0,0.011190488680991116,-0.0007649766503345376,-0.0056219293778194835
2.0,37.0,0.010409057823550626,-0.0007948954402612878,-0.0052266139369620875
2.0,38.0,0.00960069780046854,-0.0008191527581120264,-0.004818298953136849
2.0,39.0,0.008770752307326574,-0.0008384057367151155,-0.004399689803760449
2.0,40.0,0.00792388632703831,-0.0008533380139107887,-0.0039731276416052905
2.0,41.0,0.007064076279504996,-0.0008646292836904769,-0.003540588679181514
2.0,42.0,0.0061946277596573555,-0.0008729305692997749,-0.003103697290941488
2.0,43.0,0.005318215140905446,-0.000878844996788866,-0.0026637497354467304
2.0,44.0,0.0044369377660796235,-0.0008829134890360978,-0.0022217456530391902
2.0,45.0,0.003552388162833251,-0.0008856046040026967,-0.0017784249615203401
2.0,46.0,0.00266572855807423,-0.0008873076742368861,-0.0013343082751429876
2.0,47.0,0.0017777728143594787,-0.0008883284331857431,-0.0008897394559250194
2.0,48.0,0.0008890716917027439,-0.0008888864071797393,-0.00044492933550220636
2.0,49.0,0.0,-0.00044453584585137193,-0.0
3.0,0.0,0.0,0.0006305694180905714,-0.0
3.0,1.0,0.0012611388361811427,0.0012613548924180484,-0.0004204885936444989
3.0,2.0,0.002522709784836097,0.0012618742530554963,-0.0008412441340871681
3.0,3.0,0.0037848873422921354,0.0012624487819318025,-0.0012624487819318023
3.0,4.0,0.005047607348699702,0.001262780195224356,-0.0016842053176245706
3.0,5.0,0.0063104477327408474,0.0012624509605833173,-0.002106496896316813
