# Magnetic Field Jacobi algorithm data
x,y,Az,Bx,By
58.0,1.0,0.003935255698695491,0.003937781665006986,4.485796431732232e-05
58.0,2.0,0.007875563330013971,0.00394539800470166,8.988191342178872e-05
58.0,3.0,0.011826051708098811,0.003958097032211018,0.00013523914474067918
58.0,4.0,0.015791757394436008,0.003975948056146189,0.0001811017759105818
58.0,5.0,0.01977794782039119,0.003998974981214522,0.00022764600949250202
58.0,6.0,0.02378970735686505,0.0040272790509791635,0.00027505797806158007
58.0,7.0,0.027832505922349517,0.004060917561002478,0.00032353112970284065
58.0,8.0,0.03191154247887001,0.004100025741048504,0.0003732745668327195
58.0,9.0,0.036032557404446525,0.004144697081299664,0.0004245087622976214
58.0,10.0,0.040200936641469336,0.004195103877648404,0.00047747658354970954
58.0,11.0,0.04442276515974333,0.004251379666565778,0.0005324376151464791
58.0,12.0,0.04870369597460089,0.004313737958729913,0.0005896821246581252
58.0,13.0,0.05305024107720316,0.00438235726010007,0.0006495243681132745
58.0,14.0,0.05746841049480103,0.0044574975086835375,0.0007123198610400512
58.0,15.0,0.061965236094570234,0.0045393881195633645,0.0007784581953966113
58.0,16.0,0.06654718673392776,0.004628341602959572,0.0008483841494604585
58.0,17.0,0.07122191930048938,0.004724644989561752,0.0009225907745263398
58.0,18.0,0.07599647671305126,0.00482867001721423,0.0010016451444216923
58.0,19.0,0.08087925933491784,0.004940768130571954,0.001086182819670975
58.0,20.0,0.08587801297419517,0.0050613764230475825,0.0011769394536799427
58.0,21.0,0.091002012181013,0.0051909160828362555,0.001274748276221968
58.0,22.0,0.09625984513986768,0.005329892854387973,0.0013805794189846662
58.0,23.0,0.10166179788978895,0.005478798162286566,0.001495542876528283
58.0,24.0,0.10721744146444082,0.005638201985577622,0.001620938405088368
58.0,25.0,0.11293820186094419,0.0058086546075688805,0.0017582676517650872
58.0,26.0,0.11883475067957858,0.005990768011971001,0.0019092989644537775
58.0,27.0,0.1249197378848862,0.006185113613257645,0.0020760941752088202
58.0,28.0,0.13120497790609387,0.00639228462710964,0.002261094750732523
58.0,29.0,0.13770430713910548,0.006612779856054102,0.002467171095530671
58.0,30.0,0.14443053761820207,0.006847031985759228,0.0026977389839902
58.0,31.0,0.15139837111062393,0.007095256722601681,0.0029568416010913173
58.0,32.0,0.15862105106340543,0.007357416649681134,0.0032493067053112196
58.0,33.0,0.1661132044099862,0.007632993211214786,0.0035808710295703733
58.0,34.0,0.173887037485835,0.007920825136141466,0.003958383521152686
58.0,35.0,0.18195485468226913,0.008218718217988683,0.0043899678478228205
58.0,36.0,0.19032447392181237,0.008523039740855248,0.004885246868244958
58.0,37.0,0.19900093416397963,0.008828006011411066,0.005455479651126333
58.0,38.0,0.2079804859446345,0.009124823378689098,0.006113672527871539
58.0,39.0,0.21725058092135782,0.009400398158077541,0.0068744328756081274
58.0,40.0,0.22678128226078959,0.009635749403109975,0.007753502813313121
58.0,41.0,0.23652207972757777,0.009803930945363332,0.00876653925210305
58.0,42.0,0.24638914415151625,0.00986776367103101,0.009926796973432989
58.0,43.0,0.2562576070696398,0.009777667396182327,0.011240930407777072
58.0,44.0,0.2659444789438809,0.009470749658674976,0.012702283832337458
58.0,45.0,0.27519910638698974,0.00887294852604295,0.01428100339316335
58.0,46.0,0.2836903759959668,0.007907328339099462,0.015911638564286457
58.0,47.0,0.29101376306518867,0.0065118960706209705,0.017481314931992398
58.0,48.0,0.29671416813720874,0.004668462279441621,0.018826631696092055
58.0,49.0,0.3003506876240719,0.002436583759929334,0.019752545772440455
58.0,50.0,0.3015873356570674,-2.6662775308661235e-05,0.02008561576316975
58.0,51.0,0.3002973620734546,-0.0024899373981571438,0.01975206730454579
58.0,52.0,0.2966074608607531,-0.004721901193130235,0.018825674114963747
58.0,53.0,0.2908535596871941,-0.0065654765823461025,0.017479876961894847
58.0,54.0,0.2834765076960609,-0.007961107927953293,0.015909718260477712
58.0,55.0,0.27493134383128753,-0.008926983958493673,0.014278598186580393
58.0,56.0,0.2656225397790736,-0.00952509899998591,0.012699390452368065
58.0,57.0,0.2558811458313157,-0.009832388158793393,0.011237544956260434
58.0,58.0,0.2459577634614868,-0.009922914808788943,0.009922914808788943
58.0,59.0,0.23603531621373783,-0.009859571028177486,0.00876215509192449
58.0,60.0,0.22623862140513182,-0.00969193858732531,0.0077486105797978655
58.0,61.0,0.2166514390390872,-0.009457196396148879,0.006869025825709085
58.0,62.0,0.20732422861283406,-0.009182292359240549,0.006107743059922677
58.0,63.0,0.1982868543206061,-0.008886207412668504,0.0054490194611810094
58.0,64.0,0.18955181378749705,-0.008582037134213974,0.004878246717701595
58.0,65.0,0.18112278005217816,-0.008278575373948327,0.004382417744213954
58.0,66.0,0.1729946630396004,-0.007981607885553396,0.003950272446445788
58.0,67.0,0.16515956428107137,-0.007694767812483447,0.003572187143256772
58.0,68.0,0.1576051274146335,-0.0074202516022914555,0.003240037032869514
58.0,69.0,0.15031906107648846,-0.007159221204395411,0.002946972256753111
58.0,70.0,0.14328668500584268,-0.0069121976138577235,0.0026872548185889328
58.0,71.0,0.136494665848773,-0.00667921920309944,0.002456055935770224
58.0,72.0,0.1299282465996438,-0.006460072925311776,0.0022493310052824345
58.0,73.0,0.12357451999814946,-0.006254327358621754,0.002063663086647842
58.0,74.0,0.1174195918824003,-0.006061486607924146,0.0018961801719823007
58.0,75.0,0.11145154678230117,-0.005880959066395568,0.001744439451206184
58.0,76.0,0.10565767374960916,-0.005712176508937225,0.0016063772659326708
58.0,77.0,0.10002719376442672,-0.005554528949370863,0.001480223704407417
58.0,78.0,0.09454861585086743,-0.0054074696176496795,0.0013644750238915523
58.0,79.0,0.08921225452912736,-0.005270430972793089,0.0012578296306672565
58.0,80.0,0.08400775390528126,-0.005142925478732241,0.0011591751077745793
58.0,81.0,0.07892640357166288,-0.005024450331470975,0.001067539146658164
58.0,82.0,0.0739588532423393,-0.004914588669355978,0.0009820856967766023
58.0,83.0,0.06909722623295092,-0.004812906915837724,0.0009020765066181727
58.0,84.0,0.06433303941066386,-0.004719058467432771,0.0008268727067921935
58.0,85.0,0.05965910929808538,-0.004632675768425569,0.000755904101649052
58.0,86.0,0.05506768787381272,-0.004553477237345938,0.0006886737298715181
58.0,87.0,0.0505521548233935,-0.004481155318354954,0.0006247330385693965
