# Cahn-Hilliard Free Energy
"frame, free energy"
0.0,0.02632253552786012
100.0,-0.118288035282722
200.0,-0.16620541688878887
300.0,-0.23697329840726822
400.0,-0.34420961518137694
500.0,-0.5075909128327054
600.0,-0.7570597097632411
700.0,-1.1376251145820646
800.0,-1.7152306891196443
900.0,-2.582565388270434
1000.0,-3.861618721472885
1100.0,-5.696824639031472
1200.0,-8.230625523882422
1300.0,-11.556892966945998
1400.0,-15.661823691368014
1500.0,-20.382882583545047
1600.0,-25.423877294770474
1700.0,-30.435828356587677
1800.0,-35.121830125928284
1900.0,-39.3037126285654
2000.0,-42.92545985006735
2100.0,-46.01715011217523
2200.0,-48.65315129068126
2300.0,-50.9206794306094
2400.0,-52.90206556135261
2500.0,-54.66813791270873
2600.0,-56.276842114803316
2700.0,-57.773517186938506
2800.0,-59.19227262621921
2900.0,-60.55824222707248
3000.0,-61.89000177437512
3100.0,-63.201421737884985
3200.0,-64.50264092005665
3300.0,-65.80032136828126
3400.0,-67.09753819689789
3500.0,-68.39359218356233
3600.0,-69.68417806571172
3700.0,-70.96255267333106
3800.0,-72.22179204899633
3900.0,-73.45697936364029
4000.0,-74.6659307444919
4100.0,-75.8488773231513
4200.0,-77.00788063073634
4300.0,-78.14599285845216
4400.0,-79.26634964912864
4500.0,-80.37171448530174
4600.0,-81.46475143229466
4700.0,-82.54867786679307
4800.0,-83.62732694134358
4900.0,-84.70326460934994
5000.0,-85.7745537970801
5100.0,-86.83602737092868
5200.0,-87.88629258627866
5300.0,-88.9306759292111
5400.0,-89.97629451421824
5500.0,-91.02150641288675
5600.0,-92.0503214119839
5700.0,-93.04623812524467
5800.0,-94.0044752971867
5900.0,-94.92834437232594
6000.0,-95.82316982838529
6100.0,-96.69353254238564
6200.0,-97.54272101373893
6300.0,-98.37306115628547
6400.0,-99.1864075048383
6500.0,-99.98455314288181
6600.0,-100.76959508049406
6700.0,-101.54431534266533
6800.0,-102.31228073244334
6900.0,-103.07651183100558
7000.0,-103.83537045117784
7100.0,-104.57935470434725
7200.0,-105.29674336656255
7300.0,-105.9817839994804
7400.0,-106.63505057516105
7500.0,-107.2598476556199
7600.0,-107.85971581938503
7700.0,-108.43758542441432
7800.0,-108.99574735856346
7900.0,-109.53600029477045
8000.0,-110.05976584176415
8100.0,-110.56818820935372
8200.0,-111.06224899433053
8300.0,-111.54287849443519
8400.0,-112.01101918760313
8500.0,-112.46761698512505
8600.0,-112.91356084408166
8700.0,-113.34961807941094
8800.0,-113.77640209651881
8900.0,-114.19438112910375
9000.0,-114.6039163647222
9100.0,-115.00531172408222
9200.0,-115.39885955777676
9300.0,-115.78487173068365
9400.0,-116.16369218550543
9500.0,-116.53569364928032
9600.0,-116.90126579093646
9700.0,-117.26080332355046
9800.0,-117.61470002212012
9900.0,-117.96334985872461
10000.0,-118.30715174999332
10100.0,-118.64651135375404
10200.0,-118.98183239955824
10300.0,-119.31349174060854
10400.0,-119.64179812100411
10500.0,-119.96694502562003
10600.0,-120.28897850643418
10700.0,-120.60780182730204
10800.0,-120.92322383792967
10900.0,-121.23503506678802
11000.0,-121.54308183308268
11100.0,-121.84731238868767
11200.0,-122.1477827187887
11300.0,-122.44462265559093
11400.0,-122.73797315313531
11500.0,-123.0279155614416
11600.0,-123.31442122152947
11700.0,-123.59734508060298
11800.0,-123.87646547433475
11900.0,-124.151547132736
12000.0,-124.42239682883027
12100.0,-124.68889406989916
12200.0,-124.95099684566748
12300.0,-125.20873142658282
12400.0,-125.46217534915758
12500.0,-125.7114394806854
12600.0,-125.95665202004423
12700.0,-126.197945419889
12800.0,-126.43544639446273
12900.0,-126.66926908107686
13000.0,-126.8995116486707
13100.0,-127.12625672121825
13200.0,-127.34957553873964
13300.0,-127.56953484934726
13400.0,-127.78620464723869
13500.0,-127.99966469316645
13600.0,-128.21000843977845
13700.0,-128.41734405191195
13800.0,-128.62179300049846
13900.0,-128.8234869341308
14000.0,-129.02256339065303
14100.0,-129.219160778274
14200.0,-129.41341315850946
14300.0,-129.60544564853288
14400.0,-129.79537145712675
14500.0,-129.98329136988258
14600.0,-130.1692957992403
14700.0,-130.35346856642687
14800.0,-130.53589090120482
14900.0,-130.71664414583444
15000.0,-130.8958103117403
15100.0,-131.07347053920014
15200.0,-131.24970218011518
15300.0,-131.42457544822093
15400.0,-131.59815043587662
15500.0,-131.77047498704144
15600.0,-131.9415836230712
15700.0,-132.11149753660618
15800.0,-132.28022560929358
15900.0,-132.4477664156694
16000.0,-132.6141111572367
16100.0,-132.77924735494176
16200.0,-132.943162920473
16300.0,-133.1058500270618
16400.0,-133.267308142192
16500.0,-133.42754573456872
16600.0,-133.58658047295657
16700.0,-133.74443806291845
16800.0,-133.90115009894026
16900.0,-134.05675139833215
17000.0,-134.2112772564575
17100.0,-134.36476097698542
17200.0,-134.5172319322719
17300.0,-134.6687143171846
17400.0,-134.8192266732638
17500.0,-134.96878217214032
17600.0,-135.11738955887597
17700.0,-135.2650545809131
17800.0,-135.41178168530155
17900.0,-135.55757576656612
18000.0,-135.70244378404024
18100.0,-135.84639612092852
18200.0,-135.9894476063991
18300.0,-136.1316181555903
18400.0,-136.27293300280962
18500.0,-136.41342251977807
18600.0,-136.5531216313204
18700.0,-136.69206886715796
18800.0,-136.83030511738042
18900.0,-136.9678721867637
19000.0,-137.10481126671885
19100.0,-137.24116146124746
19200.0,-137.3769585110367
19300.0,-137.51223385110987
19400.0,-137.64701410519902
19500.0,-137.78132106218027
19600.0,-137.91517210479017
19700.0,-138.0485809874725
19800.0,-138.18155881157168
19900.0,-138.31411503771582
20000.0,-138.4462584064122
20100.0,-138.57799769189398
20200.0,-138.70934226759084
20300.0,-138.8403024959036
20400.0,-138.9708899643366
20500.0,-139.10111758061225
20600.0,-139.2309995235011
20700.0,-139.36055103567568
20800.0,-139.4897880472117
20900.0,-139.61872663501032
21000.0,-139.74738235126682
21100.0,-139.87576948680265
21200.0,-140.00390036421862
21300.0,-140.13178477210423
21400.0,-140.25942964646416
21500.0,-140.38683907439645
21600.0,-140.51401464037156
21700.0,-140.6409560687041
21800.0,-140.767662055299
21900.0,-140.8941311461096
22000.0,-141.02036251981363
22100.0,-141.1463565661675
22200.0,-141.27211520619775
22300.0,-141.39764195795127
22400.0,-141.52294179682895
22500.0,-141.64802088458973
22600.0,-141.77288624524212
22700.0,-141.89754545345073
22800.0,-142.02200637826985
22900.0,-142.1462769991805
23000.0,-142.27036528960323
23100.0,-142.39427915120208
23200.0,-142.51802638360118
23300.0,-142.6416146875182
23400.0,-142.76505171877412
23500.0,-142.88834522662594
23600.0,-143.01150331262366
23700.0,-143.13453482996022
23800.0,-143.25744990960334
23900.0,-143.38026055766773
24000.0,-143.50298123247765
24100.0,-143.6256292926383
24200.0,-143.7482252159467
24300.0,-143.8707925212271
24400.0,-143.99335737232573
24500.0,-144.11594789414812
24600.0,-144.23859327519983
24700.0,-144.3613227640103
24800.0,-144.48416468606183
24900.0,-144.60714561318355
25000.0,-144.73028980889413
25100.0,-144.85361905125643
25200.0,-144.9771529014622
25300.0,-145.10090944694355
25400.0,-145.22490651139816
25500.0,-145.34916330161013
25600.0,-145.47370246108437
25700.0,-145.59855252591154
25800.0,-145.7237508240279
25900.0,-145.84934691519237
26000.0,-145.97540672619644
26100.0,-146.10201759133398
26200.0,-146.2292944700334
26300.0,-146.35738770226004
26400.0,-146.4864928120644
26500.0,-146.61686313385385
26600.0,-146.74882649912115
26700.0,-146.8828080024138
26800.0,-147.01936200768048
26900.0,-147.15921733617742
27000.0,-147.30333552879895
27100.0,-147.45295532776134
27200.0,-147.6094987898419
27300.0,-147.7740097265122
27400.0,-147.9458166179175
27500.0,-148.12131489987755
27600.0,-148.2950439761611
27700.0,-148.4625768155269
27800.0,-148.62195530319156
27900.0,-148.77307964380003
28000.0,-148.91667529268767
28100.0,-149.0536714585347
28200.0,-149.18495555223637
28300.0,-149.31130940642572
28400.0,-149.43340905337448
28500.0,-149.55183930548174
28600.0,-149.66710786462235
28700.0,-149.77965608291242
28800.0,-149.88986700558885
28900.0,-149.99807178233092
29000.0,-150.10455520544318
29100.0,-150.2095607595344
29200.0,-150.3132953210835
29300.0,-150.41593352564217
29400.0,-150.51762178489608
29500.0,-150.6184819462204
29600.0,-150.71861461360646
29700.0,-150.8181021698432
29800.0,-150.91701154367396
29900.0,-151.01539675017096
30000.0,-151.11330120499156
30100.0,-151.21075978662674
30200.0,-151.30780060817312
30300.0,-151.40444646805508
30400.0,-151.50071597455351
30500.0,-151.59662437139002
30600.0,-151.6921841182414
30700.0,-151.78740529177483
30800.0,-151.8822958673401
30900.0,-151.97686192326148
31000.0,-152.07110778715344
31100.0,-152.1650361257091
31200.0,-152.25864797226768
31300.0,-152.35194269221938
31400.0,-152.44491790258337
31500.0,-152.53756938318475
31600.0,-152.62989103554136
31700.0,-152.72187495507862
31800.0,-152.81351167786863
31900.0,-152.90479064299498
32000.0,-152.99570087761006
32100.0,-153.08623186909657
32200.0,-153.17637454589186
32300.0,-153.2661222556122
32400.0,-153.35547161528837
32500.0,-153.44442311880567
32600.0,-153.53298141954076
32700.0,-153.62115525382364
32800.0,-153.70895702170932
32900.0,-153.79640208456271
33000.0,-153.88350786691504
33100.0,-153.97029286073928
33200.0,-154.05677562566518
33300.0,-154.14297386284872
33400.0,-154.22890361782197
33500.0,-154.31457864282442
33600.0,-154.40000992541903
33700.0,-154.48520537080853
33800.0,-154.5701696129686
33900.0,-154.6549039264532
34000.0,-154.73940621689647
34100.0,-154.8236710820264
34200.0,-154.90768995228115
34300.0,-154.99145133512033
34400.0,-155.07494119392686
34500.0,-155.1581434868637
34600.0,-155.2410408725264
34700.0,-155.3236155613017
34800.0,-155.4058502611088
34900.0,-155.48772914209147
35000.0,-155.56923873374515
35100.0,-155.65036867290686
35200.0,-155.73111224030512
35300.0,-155.8114666515558
35400.0,-155.89143309869831
35500.0,-155.9710165645027
35600.0,-156.05022545009209
35700.0,-156.12907106583754
35800.0,-156.2075670370535
35900.0,-156.28572867192776
36000.0,-156.3635723317553
36100.0,-156.44111483486517
36200.0,-156.51837291694127
36300.0,-156.59536276241093
36400.0,-156.67209961447796
36500.0,-156.7485974653008
36600.0,-156.82486882289282
