# Magnetic Field Gauss-SeidelSOR algorithm data
x,y,Az,Bx,By
0.0,0.0,0.0,0.0,-0.0
0.0,1.0,0.0,0.0,-0.00020934419817593463
0.0,2.0,0.0,0.0,-0.0004340779253863815
0.0,3.0,0.0,0.0,-0.0006573073875740616
0.0,4.0,0.0,0.0,-0.0008755595335568449
0.0,5.0,0.0,0.0,-0.001084576708752135
0.0,6.0,0.0,0.0,-0.001293345433259799
0.0,7.0,0.0,0.0,-0.0015088075676932468
0.0,8.0,0.0,0.0,-0.0017233126389012427
0.0,9.0,0.0,0.0,-0.0019382331783318828
0.0,10.0,0.0,0.0,-0.0021444619678678946
0.0,11.0,0.0,0.0,-0.0023488722746913874
0.0,12.0,0.0,0.0,-0.0025509259846390334
0.0,13.0,0.0,0.0,-0.002751062627374792
0.0,14.0,0.0,0.0,-0.0029501866240159236
0.0,15.0,0.0,0.0,-0.003134829923942955
0.0,16.0,0.0,0.0,-0.003296362585391203
0.0,17.0,0.0,0.0,-0.003453833517882576
0.0,18.0,0.0,0.0,-0.003605626522784698
0.0,19.0,0.0,0.0,-0.0037316922425665168
0.0,20.0,0.0,0.0,-0.003843872776537399
0.0,21.0,0.0,0.0,-0.003941318801747193
0.0,22.0,0.0,0.0,-0.004014351022234486
0.0,23.0,0.0,0.0,-0.004067889856244745
0.0,24.0,0.0,0.0,-0.004100682525230925
0.0,25.0,0.0,0.0,-0.004107467250400277
0.0,26.0,0.0,0.0,-0.004090665321623378
0.0,27.0,0.0,0.0,-0.004053150816542388
0.0,28.0,0.0,0.0,-0.003991903290032231
0.0,29.0,0.0,0.0,-0.003908023106008879
0.0,30.0,0.0,0.0,-0.0038058628162813695
0.0,31.0,0.0,0.0,-0.0036837380873210495
0.0,32.0,0.0,0.0,-0.0035439052197725023
0.0,33.0,0.0,0.0,-0.0033914961397161192
0.0,34.0,0.0,0.0,-0.0032249891407983983
0.0,35.0,0.0,0.0,-0.0030449147081606826
0.0,36.0,0.0,0.0,-0.0028544862046876733
0.0,37.0,0.0,0.0,-0.0026568268684524564
0.0,38.0,0.0,0.0,-0.00245188062065254
0.0,39.0,0.0,0.0,-0.002237512827184427
0.0,40.0,0.0,0.0,-0.0020222697763605407
0.0,41.0,0.0,0.0,-0.001804040318388846
0.0,42.0,0.0,0.0,-0.001581136274712234
0.0,43.0,0.0,0.0,-0.0013581779040765167
0.0,44.0,0.0,0.0,-0.001133180457537638
0.0,45.0,0.0,0.0,-0.0009079263345854507
0.0,46.0,0.0,0.0,-0.000681215039587914
0.0,47.0,0.0,0.0,-0.0004541410780502383
0.0,48.0,0.0,0.0,-0.00022746070948055866
0.0,49.0,0.0,0.0,-0.0
1.0,0.0,0.0,0.00020934419817593463,-0.0
1.0,1.0,0.00041868839635186925,0.0004340779253863815,-0.00043407792538639127
1.0,2.0,0.000868155850772763,0.00044796318939812696,-0.0008697979145063978
1.0,3.0,0.0013146147751481232,0.0004414816081704634,-0.0012998359863339432
1.0,4.0,0.0017511190671136898,0.00042726932117807337,-0.0017387288350974638
1.0,5.0,0.00216915341750427,0.000417785899702954,-0.0021619913130577315
1.0,6.0,0.002586690866519598,0.00042423085894111186,-0.002592696628439384
1.0,7.0,0.0030176151353864937,0.0004299672056414438,-0.003021414641111849
1.0,8.0,0.0034466252778024855,0.000429425610638636,-0.00345009710438764
1.0,9.0,0.0038764663566637656,0.0004211493289666519,-0.0038725309923691885
1.0,10.0,0.004288923935735789,0.00041063909635950455,-0.0042938608803437675
1.0,11.0,0.004697744549382775,0.0004064640167711388,-0.004704399746518643
1.0,12.0,0.005101851969278067,0.0004021903526834048,-0.005105599005322465
1.0,13.0,0.005502125254749584,0.0003992606393768902,-0.00550670100761304
1.0,14.0,0.005900373248031847,0.00038376729656816296,-0.0059028776420552
1.0,15.0,0.00626965984788591,0.0003461759613752795,-0.0062654521201181285
1.0,16.0,0.006592725170782406,0.000319003593939621,-0.006607248527339822
1.0,17.0,0.006907667035765152,0.000309263937393495,-0.006926600125227101
1.0,18.0,0.007211253045569396,0.00027785872468394065,-0.007221447848656429
1.0,19.0,0.0074633844851330336,0.00023824625375270083,-0.007483940772209562
1.0,20.0,0.007687745553074798,0.00020962655918067624,-0.007710397983074289
1.0,21.0,0.007882637603494386,0.0001704782456970872,-0.007902095036302834
1.0,22.0,0.008028702044468972,0.0001265710544975521,-0.008051357483625732
1.0,23.0,0.00813577971248949,8.633150299643903e-05,-0.008157196672293376
1.0,24.0,0.00820136505046185,3.957739415553184e-05,-0.008219021525957304
1.0,25.0,0.008214934500800554,-1.0017203607546807e-05,-0.008236330067032747
1.0,26.0,0.008181330643246757,-5.4316433857889285e-05,-0.008206490694602726
1.0,27.0,0.008106301633084775,-9.876203159114774e-05,-0.008126963566576799
1.0,28.0,0.007983806580064461,-0.00014512771053350887,-0.008003331246472633
1.0,29.0,0.007816046212017758,-0.0001860404737508612,-0.007838518105123895
1.0,30.0,0.007611725632562739,-0.00022428501868782934,-0.0076315962727829464
1.0,31.0,0.007367476174642099,-0.0002619575965088672,-0.007386111251377843
1.0,32.0,0.0070878104395450045,-0.00029224194760493023,-0.007106531362770549
1.0,33.0,0.0067829922794322385,-0.000318916078974104,-0.006794997141002959
1.0,34.0,0.0064499782815967965,-0.00034658143155543667,-0.006458204605599387
1.0,35.0,0.006089829416321365,-0.00037050293611072494,-0.006099269429860818
1.0,36.0,0.005708972409375347,-0.0003880878397082262,-0.005717385948745959
1.0,37.0,0.005313653736904913,-0.0004026055840351335,-0.005320189887856352
