# Cahn-Hilliard Free Energy
"frame, free energy"
0.0,-108.9714794221895
100.0,-109.82290193490056
200.0,-109.83364794606953
300.0,-109.8371799107671
400.0,-109.83894741661257
500.0,-109.84001865011334
600.0,-109.8407503043074
700.0,-109.8412941469953
800.0,-109.84172494337056
900.0,-109.84208348886946
1000.0,-109.84239381037563
1100.0,-109.84267093101111
1200.0,-109.84292471341571
1300.0,-109.84316190386637
1400.0,-109.84338728378714
1500.0,-109.84360434976722
1600.0,-109.84381573149257
1700.0,-109.84402345766307
1800.0,-109.84422913047028
1900.0,-109.84443404328637
2000.0,-109.84463926206044
2100.0,-109.84484568291279
2200.0,-109.84505407374559
2300.0,-109.84526510488757
2400.0,-109.84547937206679
2500.0,-109.845697413921
2600.0,-109.84591972555721
2700.0,-109.84614676921385
2800.0,-109.84637898277298
2900.0,-109.84661678666046
3000.0,-109.84686058952859
3100.0,-109.84711079301374
3200.0,-109.84736779578907
3300.0,-109.84763199708118
3400.0,-109.84790379978077
3500.0,-109.84818361325013
3600.0,-109.84847185590968
3700.0,-109.84876895766996
3800.0,-109.84907536226501
3900.0,-109.8493915295342
4000.0,-109.84971793769343
4100.0,-109.85005508563304
4200.0,-109.85040349527613
4300.0,-109.85076371402991
4400.0,-109.851136317362
4500.0,-109.85152191153388
4600.0,-109.8519211365245
4700.0,-109.85233466917975
4800.0,-109.85276322662568
4900.0,-109.8532075699869
5000.0,-109.85366850845709
5100.0,-109.85414690377294
5200.0,-109.85464367515092
5300.0,-109.85515980475371
5400.0,-109.85569634376344
5500.0,-109.85625441915079
5600.0,-109.8568352412428
5700.0,-109.85744011221028
5800.0,-109.85807043561485
5900.0,-109.85872772718139
6000.0,-109.85941362699133
6100.0,-109.86012991332764
6200.0,-109.86087851844749
6300.0,-109.86166154661129
6400.0,-109.8624812947635
6500.0,-109.86334027634159
6600.0,-109.86424124879039
6700.0,-109.86518724548498
6800.0,-109.86618161292147
6900.0,-109.86722805423443
7000.0,-109.8683306803488
7100.0,-109.86949407039413
7200.0,-109.87072334341869
7300.0,-109.87202424396851
7400.0,-109.87340324478372
7500.0,-109.8748676707632
7600.0,-109.87642584953377
7700.0,-109.87808729553512
7800.0,-109.87986293664201
