# SIRS model variance data p2 = p3 = 0.5
p1,variance_I,variance_I_error
0.2,0.0,0.0
0.21000000000000002,0.0,0.0
0.22,0.0,0.0
0.23,0.0,0.0
0.24000000000000002,0.0,0.0
0.25,0.0,0.0
0.26,0.00017450602591572288,4.988130422371252e-05
0.27,0.0005345388062442608,0.00012723508165484826
0.28,0.0009787736720742782,0.0001726424156080291
0.29000000000000004,0.033495996224875015,0.003807265758392704
0.30000000000000004,0.04284255632690542,0.003691279293720251
0.31,1.8116186756290173,0.01828650674297873
0.32,0.8311213522334437,0.011953448295978586
0.33,0.70379839895521,0.010024595476411187
0.34,0.6841926044281165,0.009741497608178823
0.35,0.6130804835261777,0.008550977056728772
0.36,0.563192109882657,0.007932513465932737
0.37,0.5583909525803407,0.008003102334959844
0.38,0.5415769885480987,0.007331539966248297
0.39,0.5379230400000117,0.007564938437790171
0.4,0.4934713671625359,0.007226449447087682
0.41000000000000003,0.5247313526170678,0.007264207006439582
0.42000000000000004,0.4909706921171164,0.006986541235198556
0.43000000000000005,0.4796105529476656,0.006798389221133692
0.44,0.49072242873173677,0.006828658751344715
0.45,0.4483436503662961,0.006389916708584982
0.46,0.4491673062707996,0.006273681776052352
0.47000000000000003,0.43712844526066913,0.0063282835421348636
0.48000000000000004,0.42364768478320913,0.005759064994052256
0.49,0.44539151702478996,0.00662384954934766
0.5,0.4171065976941027,0.005943369879178245
