# Conway's Game of Life Glider Centre of Mass
Time,x_com,y_com
265.0,41.2,41.8
266.0,41.4,42.2
267.0,41.8,42.2
268.0,42.2,42.4
269.0,42.2,42.8
270.0,42.4,43.2
271.0,42.8,43.2
272.0,43.2,43.4
273.0,43.2,43.8
274.0,43.4,44.2
275.0,43.8,44.2
276.0,44.2,44.4
277.0,44.2,44.8
278.0,44.4,45.2
279.0,44.8,45.2
280.0,45.2,45.4
281.0,45.2,45.8
282.0,45.4,46.2
283.0,45.8,46.2
284.0,46.2,46.4
285.0,46.2,46.8
286.0,46.4,47.2
287.0,46.8,47.2
288.0,47.2,47.4
289.0,47.2,47.8
290.0,47.4,48.2
291.0,47.8,48.2
292.0,48.2,48.4
293.0,48.2,nan
294.0,48.4,nan
295.0,nan,nan
296.0,nan,nan
297.0,nan,nan
298.0,nan,nan
299.0,nan,nan
