# Conway's Game of Life Steady State Times
Time
0.056
0.46
0.228
0.568
0.788
0.252
0.456
0.328
0.364
0.384
0.484
0.392
0.088
0.436
0.096
0.26
0.272
0.448
0.22
0.372
0.412
0.108
0.204
0.44
0.188
0.156
0.504
0.18
0.092
0.204
0.14
0.22
1.012
0.384
0.356
0.472
0.648
0.264
0.16
0.604
0.112
0.488
0.2
0.228
0.3
0.34
0.268
0.364
0.164
0.36
0.356
0.14
0.336
0.204
0.112
0.348
0.192
0.316
0.14
0.328
0.28
0.276
0.24
0.192
0.06
0.24
0.124
0.092
0.688
0.492
0.464
0.188
0.388
0.236
1.06
0.32
0.352
0.6
0.26
0.188
0.152
0.26
0.22
0.468
0.288
0.112
1.472
0.268
0.204
0.364
0.08
0.28
1.512
0.228
0.08
0.144
0.38
0.148
0.532
0.316
0.192
0.42
0.54
0.072
0.784
0.152
0.48
0.504
1.02
0.448
0.148
0.596
0.116
0.172
0.356
0.344
0.2
0.416
0.172
0.056
0.128
0.124
0.356
0.136
0.7
0.284
0.14
0.7
0.244
0.232
0.628
0.144
0.124
0.112
0.092
0.144
0.172
0.224
0.188
0.864
0.472
0.372
0.196
0.068
0.996
0.496
0.232
0.176
0.356
0.14
0.136
0.54
0.108
0.124
0.184
1.308
0.368
0.428
0.52
0.58
0.164
0.356
0.612
0.196
0.52
0.768
0.7
0.844
0.476
0.208
0.332
0.128
0.168
0.492
0.432
0.144
0.1
0.58
1.124
0.304
0.48
0.236
0.272
0.8
0.368
0.28
0.336
0.116
0.152
0.176
0.58
0.196
1.304
0.18
0.308
0.296
0.148
0.152
0.468
0.1
0.772
0.424
1.04
0.524
0.524
0.188
1.04
0.372
0.092
0.328
0.364
0.572
0.744
0.368
0.392
0.116
0.06
0.136
0.124
0.124
0.384
0.264
0.08
0.256
0.2
0.24
0.42
0.24
0.264
0.296
0.412
0.308
0.124
0.48
0.092
0.188
0.424
0.296
0.196
0.664
0.208
0.284
0.404
0.292
0.92
1.4
0.396
0.092
0.492
0.476
0.22
0.156
0.26
0.488
0.188
0.532
0.216
0.356
0.14
0.464
1.232
0.296
0.136
0.12
0.668
0.504
0.136
0.292
0.112
0.468
0.216
0.168
0.084
0.252
0.22
nan
0.208
0.724
0.6
0.34
0.26
0.296
0.844
0.164
0.444
0.72
1.02
0.104
0.412
0.084
0.152
0.932
0.312
0.2
0.348
0.104
0.212
0.248
0.468
0.312
0.048
0.148
0.268
0.168
0.38
0.564
0.464
0.2
0.196
0.688
0.412
0.264
0.14
0.4
0.588
0.46
0.152
0.256
0.148
0.66
0.256
0.392
0.28
0.544
0.756
0.172
0.328
0.152
0.212
0.064
0.74
0.564
0.18
0.268
0.256
0.308
0.42
0.256
0.452
0.22
0.288
0.212
0.612
0.44
0.244
0.392
0.176
0.136
1.524
0.288
0.144
0.256
0.632
0.14
0.552
0.088
0.18
0.66
0.056
0.636
0.348
0.152
0.18
0.164
0.472
0.776
1.024
0.356
0.224
0.204
0.208
0.328
0.188
0.18
1.064
0.384
0.496
0.08
0.128
0.18
0.456
0.912
0.12
0.44
0.48
0.268
0.152
0.54
0.44
0.108
0.308
0.184
0.12
0.212
0.644
0.764
0.188
1.236
1.1
0.156
0.42
0.52
0.776
0.148
0.492
0.66
0.256
0.192
0.212
0.148
0.264
0.56
0.352
0.304
0.396
0.236
0.432
0.284
0.396
0.376
0.144
0.208
0.236
0.104
0.172
0.112
0.28
0.124
0.488
1.104
0.456
1.108
0.252
0.164
0.3
0.512
0.588
0.244
0.22
0.104
0.464
0.128
0.108
0.172
0.176
0.604
0.232
0.104
0.112
0.336
0.196
0.2
0.288
0.096
0.416
0.212
0.212
0.572
0.16
0.224
0.344
0.408
0.276
0.516
0.28
0.628
0.26
0.152
0.464
0.1
0.18
0.568
0.656
0.372
0.204
0.392
0.188
0.708
0.276
0.156
0.188
0.152
0.304
0.544
0.432
0.104
0.208
0.128
0.956
0.16
0.172
0.316
0.188
0.216
0.336
0.54
0.352
0.536
0.468
0.284
