# SIRS model immunity data p1 = 0.8 p2 = 0.1 p3 = 0.02
Immune_fraction,1,2,3,4,5,mean_I_fraction,sem_I_fraction
0.0,0.12470933333333332,0.12630266666666667,0.12734666666666666,0.12772755555555554,0.12564444444444445,0.12634613333333333,0.0005514873160400743
0.02,0.12288666666666666,0.12183644444444444,0.1224951111111111,0.12117244444444446,0.11832133333333333,0.1213424,0.0008097317781787923
0.04,0.11685155555555554,0.11833866666666668,0.11762622222222222,0.11898044444444444,0.11775822222222224,0.11791102222222223,0.00035731443841697234
0.06,0.11298755555555556,0.1170048888888889,0.11359688888888889,0.11118,0.11343511111111111,0.11364088888888887,0.0009445526735372787
0.08,0.110168,0.10729333333333334,0.10877644444444445,0.10762177777777779,0.1076048888888889,0.10829288888888888,0.0005325745528289785
0.1,0.10405866666666666,0.10131155555555556,0.10748044444444445,0.10307155555555556,0.10093644444444444,0.10337173333333331,0.0011751267069060902
0.12,0.0997471111111111,0.09992355555555556,0.09572177777777778,0.10167422222222222,0.102772,0.09996773333333334,0.0012011407137887662
0.14,0.09533688888888889,0.09234177777777779,0.09255822222222222,0.09596444444444444,0.09322133333333334,0.09388453333333333,0.0007421050127013963
0.16,0.09058488888888888,0.08907999999999999,0.08845555555555555,0.09053333333333334,0.09127777777777778,0.08998631111111112,0.0005239287747276872
0.18,0.08160311111111111,0.08456711111111112,0.081412,0.08559911111111111,0.08187422222222222,0.08301111111111112,0.0008646102211794069
0.2,0.07930311111111112,0.0802368888888889,0.07353111111111112,0.08102444444444444,0.08114133333333333,0.07904737777777779,0.0014177971757641974
0.22,0.07480666666666667,0.07446355555555556,0.06853733333333334,0.07445422222222223,0.07226533333333333,0.07290542222222224,0.0011817615175848488
0.24,0.06335733333333333,0.061032,0.07327688888888889,0.06361688888888889,0.07007155555555555,0.06627093333333334,0.0023076782906924723
0.26,0.058557333333333336,0.029365777777777775,0.06303733333333333,0.06302044444444445,0.062275555555555556,0.05525128888888888,0.006524232536068235
0.28,0.00044222222222222227,0.05581422222222222,0.05483777777777778,0.038870666666666664,0.031251999999999995,0.03624337777777777,0.010105218705619146
0.3,0.05988488888888888,0.007571111111111111,0.009073333333333334,0.04930488888888889,0.041743999999999996,0.033515644444444444,0.010683839455417503
0.32,2.1777777777777776e-05,0.000656,0.020168444444444444,0.010650666666666666,0.0019377777777777776,0.006686933333333332,0.0038782293493198573
0.34,0.010811111111111112,0.00026533333333333335,0.01755733333333333,0.024690666666666666,0.030725333333333334,0.016809955555555554,0.005319833545339878
0.36,2.5333333333333337e-05,0.0020280000000000003,0.0005133333333333334,0.0006306666666666666,0.00036311111111111114,0.000712088888888889,0.00034432354580761807
0.38,0.0018946666666666665,0.0028217777777777777,8.488888888888889e-05,8.044444444444444e-05,0.0014226666666666667,0.0012608888888888889,0.0005310671111481201
0.4,7.333333333333333e-05,0.0003622222222222222,8.888888888888889e-07,2.9333333333333333e-05,1.6e-05,9.635555555555555e-05,6.755663741823788e-05
0.42,5.466666666666666e-05,0.00012755555555555556,7.6e-05,0.0,0.0012466666666666668,0.0003009777777777778,0.00023730513357227042
0.44,3.5555555555555555e-06,3.866666666666667e-05,0.0,8.488888888888889e-05,0.00025555555555555553,7.653333333333333e-05,4.729469471460988e-05
0.46,4.4444444444444444e-07,0.0005133333333333334,0.00016355555555555557,0.0,0.000164,0.00016826666666666667,9.369881878644634e-05
0.48,0.00013911111111111112,0.00024577777777777776,0.0,1.0222222222222223e-05,2.666666666666667e-06,7.955555555555556e-05,4.9104373595157885e-05
0.5,0.0,0.0,9.288888888888888e-05,0.00011866666666666667,4.888888888888889e-06,4.328888888888888e-05,2.5849937316350674e-05
0.52,4.355555555555555e-05,3.5555555555555555e-06,0.0,0.0,3.2e-05,1.582222222222222e-05,9.170645601087239e-06
0.54,0.0,6.755555555555555e-05,0.0,0.00015333333333333334,7.555555555555555e-06,4.568888888888889e-05,2.9744392562109733e-05
0.56,0.0,3.644444444444445e-05,8.88888888888889e-06,1.777777777777778e-05,4.888888888888889e-06,1.36e-05,6.412333794443176e-06
0.58,0.0,0.0,9.333333333333334e-06,0.0,0.0,1.8666666666666669e-06,1.8666666666666667e-06
0.6,9.022222222222222e-05,2.222222222222222e-05,6.222222222222222e-06,0.0,0.0,2.3733333333333335e-05,1.7111746019966864e-05
0.62,1.0222222222222223e-05,1.1555555555555554e-05,0.0,8.888888888888889e-07,0.0,4.533333333333333e-06,2.608249022421548e-06
0.64,4e-06,0.0,0.0,0.0,0.0,8e-07,8e-07
0.66,3.5555555555555555e-06,0.0,0.0,0.0,0.0,7.111111111111111e-07,7.111111111111111e-07
0.68,0.0,0.0,0.0,3.644444444444445e-05,4.444444444444445e-06,8.177777777777779e-06,7.118884640062552e-06
0.7000000000000001,0.0,0.0,2.666666666666667e-06,0.0,0.0,5.333333333333333e-07,5.333333333333333e-07
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,4.888888888888889e-06,0.0,9.777777777777778e-07,9.777777777777778e-07
0.76,1.2e-05,0.0,0.0,0.0,0.0,2.4e-06,2.4e-06
0.78,0.0,1.3777777777777778e-05,0.0,0.0,6.666666666666667e-06,4.088888888888889e-06,2.744781805625691e-06
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
