5 29       9.57095538
5 30       9.36875105
5 31       9.13595307
5 32       8.87790577
5 33       8.60024713
5 34       8.30871319
5 35       8.00896238
5 36       7.70642735
5 37       7.40619908
5 38       7.11294467
5 39       6.83085729
5 40       6.56363513
5 41       6.31448415
5 42       6.08613928
5 43       5.88089823
5 44       5.70066277
5 45       5.54698262
5 46       5.42109840
5 47       5.32398059
5 48       5.25636229
5 49       5.21876451

6 0       5.33993379
6 1       5.36586227
6 2       5.42480272
6 3       5.51649217
6 4       5.64045668
6 5       5.79597436
6 6       5.98202933
6 7       6.19725794
6 8       6.43988992
6 9       6.70768759
6 10       6.99788762
6 11       7.30715098
6 12       7.63152732
6 13       7.96644114
6 14       8.30670660
6 15       8.64657773
6 16       8.97983856
6 17       9.29993568
6 18       9.60015200
6 19       9.87381663
6 20      10.11454162
6 21      10.31647245
6 22      10.47453606
6 23      10.58466892
6 24      10.64400760
6 25      10.65102639
6 26      10.60561066
6 27      10.50905950
6 28      10.36401765
6 29      10.17434243
6 30       9.94491687
6 31       9.68142440
6 32       9.39010242
6 33       9.07749269
6 34       8.75020480
6 35       8.41470618
6 36       8.07714826
6 37       7.74323408
6 38       7.41812853
6 39       7.10640907
6 40       6.81205184
6 41       6.53844668
6 42       6.28843352
6 43       6.06435296
6 44       5.86810425
6 45       5.70120500
6 46       5.56484812
6 47       5.45995260
6 48       5.38720586
6 49       5.34709608

7 0       5.48861112
7 1       5.51736375
7 2       5.58222923
7 3       5.68298002
7 4       5.81919633
7 5       5.99022042
7 6       6.19509922
7 7       6.43251660
7 8       6.70071808
7 9       6.99743135
7 10       7.31978805
7 11       7.66425328
7 12       8.02657089
7 13       8.40173354
7 14       8.78398683
7 15       9.16687605
7 16       9.54334251
7 17       9.90587298
7 18      10.24670186
7 19      10.55806041
7 20      10.83246205
7 21      11.06300761
7 22      11.24369036
7 23      11.36967867
7 24      11.43755375
7 25      11.44548276
7 26      11.39331235
7 27      11.28257436
7 28      11.11640301
7 29      10.89937102
7 30      10.63725883
7 31      10.33677614
7 32      10.00525836
7 33       9.65036031
7 34       9.27976813
7 35       8.90094614
7 36       8.52093052
7 37       8.14617603
7 38       7.78245696
7 39       7.43481854
7 40       7.10757234
7 41       6.80432655
7 42       6.52804160
7 43       6.28110172
7 44       6.06539389
7 45       5.88238733
7 46       5.73320794
7 47       5.61870395
7 48       5.53950021
7 49       5.49603963

8 0       5.65591782
8 1       5.68760098
8 2       5.75897972
8 3       5.86987204
8 4       6.01993005
8 5       6.20858404
8 6       6.43497174
8 7       6.69785395
8 8       6.99551938
8 9       7.32568255
8 10       7.68538077
8 11       8.07087818
8 12       8.47758667
8 13       8.90001498
8 14       9.33175795
