# Species fraction against time
"time, first a value, second a value"
0.0,0.013139218377097195,0.06568455593952807
0.1,0.03176055210152237,0.0785608225733937
0.2,0.05296137093281761,0.0926708550170803
0.30000000000000004,0.07526842141367104,0.10734627777791965
0.4,0.09734007166972075,0.12199035341700704
0.5,0.1181284566538367,0.13611417398642797
0.6000000000000001,0.1369511366174839,0.14935981601342913
0.7000000000000001,0.15347138069663635,0.16150432228305062
0.8,0.16762271846664623,0.17244638924116915
0.9,0.179518411954159,0.1821818455786505
1.0,0.18937236413125721,0.19077496119274084
1.1,0.1974413659388001,0.19833129238451036
1.2000000000000002,0.20398802030632016,0.20497547516159287
1.3,0.20925956548390862,0.21083519141099197
1.4000000000000001,0.213477473447179,0.21603098698090717
1.5,0.2168337581859041,0.2206708094120665
1.6,0.2194911654148278,0.2248479059374429
1.7000000000000002,0.22158541019060604,0.22864085081537672
1.8,0.2232283293546778,0.23211475151082384
1.9000000000000001,0.22451128014337385,0.23532298094132575
2.0,0.22550841420043205,0.23830903165835668
2.1,0.22627964204929676,0.2411082685978265
2.2,0.22687321509362665,0.24374947579637637
2.3000000000000003,0.22732791648325157,0.2462561638908742
2.4000000000000004,0.22767488628206112,0.24864764425470887
2.5,0.22793912200703326,0.25093989425374974
2.6,0.22814070042113613,0.2531462447834596
2.7,0.22829576532692514,0.25527792147134787
2.8000000000000003,0.22841732202516496,0.2573444680422136
2.9000000000000004,0.22851587385260733,0.2593540762664356
3.0,0.22859993079412894,0.2613138426712011
3.1,0.22867641509426598,0.2632299682889811
3.2,0.22875098430263827,0.26510791434576053
3.3000000000000003,0.22882828834468727,0.2669525239934353
3.4000000000000004,0.22891217399453131,0.2687681179287066
3.5,0.22900584748005298,0.2705585699450431
3.6,0.2291120037955958,0.27232736705727234
3.7,0.22923292955754299,0.2740776577465841
3.8000000000000003,0.22937058484099618,0.2758122910326811
3.9000000000000004,0.2295266683188677,0.2775338484354827
4.0,0.22970266913447976,0.279244670397217
4.1000000000000005,0.22989990823073497,0.28094687836188775
4.2,0.23011957129662572,0.2826423934254259
4.3,0.23036273504571608,0.2843329522549254
4.4,0.23063038818745993,0.28602012081269035
4.5,0.23092344817176488,0.28770530629773516
4.6000000000000005,0.23124277456488612,0.28938976762421315
4.7,0.23158917973846171,0.291074624685675
4.800000000000001,0.23196343741370354,0.2927608666005118
4.9,0.23236628949184046,0.2944493590932236
5.0,0.2327984515138667,0.2961408511351081
5.1000000000000005,0.23326061702271936,0.29783598094420044
5.2,0.23375346104543498,0.299535281426027
5.300000000000001,0.23427764286863842,0.3012391851226098
5.4,0.23483380824554395,0.30294802872617604
5.5,0.23542259114463343,0.30466205720541617
5.6000000000000005,0.23604461512784658,0.30638142758533665
5.7,0.23670049442830132,0.30810621241633623
5.800000000000001,0.2373908347833356,0.30983640296377546
5.9,0.23811623406728766,0.31157191214576985
6.0,0.2388772827593287,0.31331257724403
6.1000000000000005,0.23967456427436812,0.31505816241016243
6.2,0.2405086551791947,0.31680836098782494
6.300000000000001,0.24138012531131237,0.3185627976694219
6.4,0.2422895378141354,0.3203210305045641
6.5,0.24323744909914666,0.3220825527762584
6.6000000000000005,0.24422440874314205,0.3238467947596976
6.7,0.2452509593266687,0.3256131253775584
6.800000000000001,0.24631763621811917,0.32738085376486664
6.9,0.24742496730659444,0.32914923075572916
7.0,0.24857347268553565,0.33091745030355246
7.1000000000000005,0.24976366428819777,0.33268465084574955
7.2,0.2509960454752651,0.3344499166233743
7.300000000000001,0.2522711105742522,0.33621227896560185
7.4,0.25358934436977576,0.3379707175484926
7.5,0.25495122154330013,0.339724161637024
7.6000000000000005,0.2563572060605408,0.34147149131894505
7.7,0.25780775050433885,0.3432115387386002
7.800000000000001,0.2593032953504934,0.34494308933847234
7.9,0.2608442681837442,0.3466648831158091
8.0,0.26243108285083366,0.3483756159013187
8.1,0.26406413854734057,0.3500739406665445
8.200000000000001,0.2657438188347628,0.3517584688661533
8.3,0.2674704905841372,0.35342777182099505
8.4,0.26924450284231555,0.3550803821474104
8.5,0.2710661856168703,0.3567147952378772
8.6,0.2729358485754833,0.35832947079769284
8.700000000000001,0.2748537796555744,0.35992283444198836
8.8,0.27682024357986157,0.3614932793569617
8.9,0.27883548027350663,0.3630391680287972
9.0,0.28089970317850094,0.3645588340433141
9.1,0.28301309746098074,0.3660505839589478
9.200000000000001,0.2851758181072419,0.3675126992552277
9.3,0.2873879879043474,0.36894343835846255
9.4,0.2896496953013989,0.3703410387458893
9.5,0.29196099214777504,0.3717037191290822
9.600000000000001,0.29432189130493275,0.37302968171695466
9.700000000000001,0.29673236412872883,0.3743171145582248
9.8,0.29919233781965043,0.3755641939627533
9.9,0.30170169263885394,0.3767690870007053
10.0,0.3042602589885039,0.3779299540780369
10.100000000000001,0.3068678143555873,0.3790449515863639
10.200000000000001,0.30952408011915283,0.38011223462484084
10.3,0.31222871822180126,0.38112995979125996
10.4,0.3149813277072322,0.3820962880391813
10.5,0.3177814411267397,0.3830093875975203
10.600000000000001,0.32062852081874826,0.3838674369486633
10.700000000000001,0.32352195506679404,0.38466862786084005
10.8,0.326461054142786,0.38541116847017187
10.9,0.32944504624392545,0.38609328640753005
11.0,0.3324730733333261,0.3867132319650789
11.100000000000001,0.3355441868961462,0.38726928129715094
11.200000000000001,0.3386573436249287,0.38775973964990285
11.3,0.34181140104982516,0.38818294461402975
11.4,0.3450051131314515,0.38853726939467625
11.5,0.34823712583627797,0.3888211260925702
11.600000000000001,0.3515059727166697,0.3890329689903206
